                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1466,                0.65196,                 1.0929,                0.86227,                0.84246,                0.90548,                0.57792,                 1.3131,                0.67961,                   1.21,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1223,                0.64593,                 1.0885,                0.87452,                0.86185,                0.93032,                 0.5941,                 1.2831,                0.64621,                 1.2051,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1132,                 0.6371,                 1.0781,                0.86563,                0.83884,                0.90313,                0.56677,                 1.3253,                0.67773,                 1.2345,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1056,                0.63318,                  1.079,                0.86169,                0.88337,                 0.9206,                0.57573,                 1.3164,                0.66602,                  1.219,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0935,                0.62163,                  1.067,                0.86355,                0.85661,                0.91789,                0.57748,                 1.3124,                0.67594,                 1.2156,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0913,                 0.6201,                 1.0707,                0.87093,                0.86752,                0.92468,                0.58348,                 1.3194,                0.67165,                 1.2221,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1021,                0.61563,                 1.0722,                0.87904,                0.85627,                0.92323,                0.58588,                 1.3244,                0.66538,                 1.2285,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0827,                0.61251,                 1.0646,                0.83459,                0.88567,                0.91901,                0.58287,                 1.3097,                0.66894,                 1.2261,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0635,                0.60289,                 1.0576,                0.86004,                0.86062,                 0.9148,                0.57717,                 1.3249,                0.67661,                 1.2288,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0643,                0.58454,                 1.0544,                0.82464,                0.88338,                 0.9175,                0.58077,                 1.3116,                0.67898,                 1.2179,             0.00095736,             0.00095736,             0.00095736
